text,likes,time,text_original,text_clean,sentiment,confidence,analysis
Yaa itu efisin si para pejabat bro dan ga ngarus di apbn real dan nyata nya memang sekarang bbm kita ga naik walaupun harga minyak dunia naik jadi mbg itu mengalihkan anggaran yg selama ini di nikmati pejabat² mwnding di kasikan anak sekolah apa ga hebat uru bro 😁🤭🤭,0,1 day ago,Yaa itu efisin si para pejabat bro dan ga ngarus di apbn real dan nyata nya memang sekarang bbm kita ga naik walaupun harga minyak dunia naik jadi mbg itu mengalihkan anggaran yg selama ini di nikmati pejabat² mwnding di kasikan anak sekolah apa ga hebat uru bro 😁🤭🤭,yaa efisin si para pejabat bro ngarus apbn real nyata memang sekarang bbm naik walaupun harga minyak dunia naik mbg mengalihkan anggaran selama nikmati pejabat mwnding kasikan anak sekolah apa hebat uru bro,NEGATIVE,0.3806,Kekhawatiran ekonomi
Cair cair 😂😂😂😂,0,1 day ago,Cair cair 😂😂😂😂,cair cair,NEGATIVE,0.2878,Lainnya
Sok tau lu 😁🤭,0,1 day ago,Sok tau lu 😁🤭,sok tau kamu,POSITIVE,0.3309,Lainnya
"Heran aku, terus yang angkat Purbaya jadi Mentri siapa? Lebih pinter dia lah 😂",12,1 day ago,"Heran aku, terus yang angkat Purbaya jadi Mentri siapa? Lebih pinter dia lah 😂",heran terus angkat purbaya mentri siapa pinter dia,NEGATIVE,0.4502,Lainnya
" @malamyangsunyii  kalo pinter knp ga di pilih sejak dari awal menjabat ehehe, malah muncul nama bahlil raja juli dll wkwk",1,1 day ago," @malamyangsunyii  kalo pinter knp ga di pilih sejak dari awal menjabat ehehe, malah muncul nama bahlil raja juli dll wkwk",pinter knp pilih sejak awal menjabat ehehe malah muncul nama bahlil raja juli dll,NEGATIVE,0.6218,Lainnya
"tapi faktanya yang gendong malah prabowo, bolak balik ke luar negeri biar investasi pada masuk. 

target 8% di tahun 2029 memang berat makanya dia realistis mengundang investor luar untuk investasi disini, kalo hanya mengandalkan peran negara atau danantara memangnya butuh berapa tahun buat mencapai itu.",6,1 day ago,"tapi faktanya yang gendong malah prabowo, bolak balik ke luar negeri biar investasi pada masuk. 

target 8% di tahun 2029 memang berat makanya dia realistis mengundang investor luar untuk investasi disini, kalo hanya mengandalkan peran negara atau danantara memangnya butuh berapa tahun buat mencapai itu.",faktanya gendong malah prabowo bolak balik luar negeri supaya investasi masuk target 8 tahun 2029 memang berat makanya dia realistis mengundang investor luar investasi disini hanya mengandalkan peran negara danantara memangnya butuh berapa tahun buat mencapai,NEGATIVE,0.4538,Kepercayaan pihak eksternal
"​ @gagapanigara3513  betul, akan lebih konkrit lagi jika mau bersih2 mafia di dalam BGN 😁",2,1 day ago,"​ @gagapanigara3513  betul, akan lebih konkrit lagi jika mau bersih2 mafia di dalam BGN 😁",betul konkrit sedang mau bersih2 mafia bgn,NEGATIVE,0.3042,Lainnya
Semua tergantung persiden. Persiden penggang kendali. Memilih memberhentikan semua di tangan persiden.,4,1 day ago,Semua tergantung persiden. Persiden penggang kendali. Memilih memberhentikan semua di tangan persiden.,tergantung persiden persiden penggang kendali memilih memberhentikan tangan persiden,NEGATIVE,0.527,Lainnya
Memang tugas nya sebagai Financial Controller negeri ini.,3,1 day ago,Memang tugas nya sebagai Financial Controller negeri ini.,memang tugas sebagai financial controller negeri,POSITIVE,0.242,Lainnya
"​​ @soebrata8 lha iya bang namanya juga menkeu, coba bayangin misal negara ini punya menkeu ga se kompeten purbaya, apa ga bobrok isi pemerintahan ini wkwkwk
coba deh evaluasi mentri2 yang lain, karena lebih dominan orang2 non kompeten di bidangnya 😄",4,1 day ago (edited),"​​ @soebrata8 lha iya bang namanya juga menkeu, coba bayangin misal negara ini punya menkeu ga se kompeten purbaya, apa ga bobrok isi pemerintahan ini wkwkwk
coba deh evaluasi mentri2 yang lain, karena lebih dominan orang2 non kompeten di bidangnya 😄",lha iya bang namanya menkeu coba bayangin misal negara punya menkeu se kompeten purbaya apa bobrok isi pemerintahan coba evaluasi mentri2 lain dominan orang2 non kompeten bidangnya,NEGATIVE,0.3714,Lainnya
ketikan pakar ekonomi ngeriiii,0,1 day ago,ketikan pakar ekonomi ngeriiii,ketikan pakar ekonomi ngeriiii,NEUTRAL,0.2898,
Sok tau lu bang 😂😂😂 pede bgt omong gitu,0,1 day ago,Sok tau lu bang 😂😂😂 pede bgt omong gitu,sok tau kamu bang pede banget omong,NEGATIVE,0.3516,Skeptisisme terhadap pemerintah
Apa nya dibilang si jangkar muda kismin pengangguran ini.,0,1 day ago,Apa nya dibilang si jangkar muda kismin pengangguran ini.,apa dibilang si jangkar muda kismin pengangguran,NEUTRAL,0.3647,
"Lebay amt bro, gak usah kayak gt jg bro 😂",0,1 day ago,"Lebay amt bro, gak usah kayak gt jg bro 😂",lebay amt bro usah kayak gt bro,NEUTRAL,0.2719,
"​ @pistoncup7986  wkwkwk gapapa nyari keramaian aja, seru liat balesan orang2 pusing 😄",0,1 day ago,"​ @pistoncup7986  wkwkwk gapapa nyari keramaian aja, seru liat balesan orang2 pusing 😄",gapapa nyari keramaian aja seru liat balesan orang2 pusing,NEGATIVE,0.5177,Lainnya
"Omon omon doang , kita punya Mentri cuma butuh gimana cara nya biar gak inflasi, padahal lebih bagus inflasi buat Perdagangan ekspor 

Jadi memang kedepan nya rupiah emang disengajain inflasi supaya produk indo laku karna murah 

Jepang juga melakukan hal itu

Jadi fungsi Menkeu gak ada , cuma jabat dan numpang berkicau 😂",0,3 hours ago,"Omon omon doang , kita punya Mentri cuma butuh gimana cara nya biar gak inflasi, padahal lebih bagus inflasi buat Perdagangan ekspor 

Jadi memang kedepan nya rupiah emang disengajain inflasi supaya produk indo laku karna murah 

Jepang juga melakukan hal itu

Jadi fungsi Menkeu gak ada , cuma jabat dan numpang berkicau 😂",omon omon doang punya mentri cuma butuh gimana cara supaya inflasi padahal bagus inflasi buat perdagangan ekspor memang kedepan rupiah memang disengajain inflasi supaya produk indo laku murah jepang melakukan hal fungsi menkeu cuma jabat numpang berkicau,NEGATIVE,0.5473,Kekhawatiran ekonomi
"​ @Juna_san  inflasi biaya produksi juga bakal makin mahal lah kocak, sama aja wkwkwkwk",0,3 hours ago,"​ @Juna_san  inflasi biaya produksi juga bakal makin mahal lah kocak, sama aja wkwkwkwk",inflasi biaya produksi bakal makin mahal kocak aja wkwkwkwk,NEGATIVE,0.5214,Kekhawatiran ekonomi
"gendong dalam apa??survival kah??atau kemakmuran tapi yg makmur cuma dibawah 10% sisanya madesuu😅😂😅,buat bisa hidup aja harus digendong masa😅segitu parah nya kah??",0,1 day ago (edited),"gendong dalam apa??survival kah??atau kemakmuran tapi yg makmur cuma dibawah 10% sisanya madesuu😅😂😅,buat bisa hidup aja harus digendong masa😅segitu parah nya kah??",gendong apa survival kemakmuran makmur cuma dibawah 10 sisanya madesuu buat hidup aja digendong masa segitu parah,NEGATIVE,0.3275,Lainnya
"​ @kudupiye8282  waktu punya kesempatan bersekolah malah main main, pacaran, nongkrong ga jelas, dah selesai bersekolah malah nyalahin orang lain",0,1 day ago,"​ @kudupiye8282  waktu punya kesempatan bersekolah malah main main, pacaran, nongkrong ga jelas, dah selesai bersekolah malah nyalahin orang lain",waktu punya kesempatan bersekolah malah main main pacaran nongkrong jelas selesai bersekolah malah nyalahin orang lain,NEGATIVE,0.3997,Lainnya
"Anda ngomong gitu seakan2 beliau berjuang sendiri. Harusnya anda bilang ""mari berjuang bersama""",0,8 hours ago,"Anda ngomong gitu seakan2 beliau berjuang sendiri. Harusnya anda bilang ""mari berjuang bersama""",anda ngomong seakan2 beliau berjuang sendiri harusnya anda bilang mari berjuang bersama,POSITIVE,0.3325,Lainnya
Karna masa yg menggulingkan srimul 😂,2,1 day ago,Karna masa yg menggulingkan srimul 😂,masa menggulingkan srimul,NEGATIVE,0.4193,Lainnya
sok tau ini SDM rendah,0,1 day ago,sok tau ini SDM rendah,sok tau sdm rendah,NEUTRAL,0.3856,
UTANG untuk korupsi berjamaah aparat penjabat pemerintah Rakyat makin melarat APBN Cor2 bgn MBG WHOOSH PROYEK2 OLIGARKI MAFIA CUKONG2 IKN untuk mata sipit Kong kalikong sama REZIM TERMUL dan TERWO.,0,1 day ago,UTANG untuk korupsi berjamaah aparat penjabat pemerintah Rakyat makin melarat APBN Cor2 bgn MBG WHOOSH PROYEK2 OLIGARKI MAFIA CUKONG2 IKN untuk mata sipit Kong kalikong sama REZIM TERMUL dan TERWO.,utang korupsi berjamaah aparat penjabat pemerintah rakyat makin melarat apbn cor2 bgn mbg whoosh proyek2 oligarki mafia cukong2 ikn mata sipit kong kalikong rezim termul terwo,NEGATIVE,0.6112,Kekhawatiran ekonomi
 @nasrulpakiah-ss2oz  ikn terlupakan well,0,1 day ago, @nasrulpakiah-ss2oz  ikn terlupakan well,ss2oz ikn terlupakan well,POSITIVE,0.4463,Lainnya
udah tua tp gak bisa mencerna berita,0,1 day ago,udah tua tp gak bisa mencerna berita,tua mencerna berita,POSITIVE,0.228,Lainnya
 @IchwanHadi-ht3zy  emang dia ke imf ngapain? imf itu bank pinjaman dunia loh begok ni iq78,0,1 day ago, @IchwanHadi-ht3zy  emang dia ke imf ngapain? imf itu bank pinjaman dunia loh begok ni iq78,ht3zy memang dia imf ngapain imf bank pinjaman dunia loh begok iq78,NEGATIVE,0.6976,Kepercayaan pihak eksternal
"​ @IchwanHadi-ht3zy  dia ga punya otak,cuma punya dengkul aja 😂",0,1 day ago,"​ @IchwanHadi-ht3zy  dia ga punya otak,cuma punya dengkul aja 😂",ht3zy dia punya otak cuma punya dengkul aja,NEGATIVE,0.4618,Lainnya
Congore wedus,4,1 day ago,Congore wedus,congore wedus,NEUTRAL,0.2472,
"​​ @agusapriyanto222 weduse sopo bang,saya ketawa ,pass",0,1 day ago (edited),"​​ @agusapriyanto222 weduse sopo bang,saya ketawa ,pass",weduse sopo bang ketawa pass,NEGATIVE,0.2859,Lainnya
menungso loro ati yo ngene iki,1,1 day ago,menungso loro ati yo ngene iki,menungso loro ati yo ngene iki,NEUTRAL,0.263,
"Kesel banget sm Pak Pur.
Saudara nya Sri Mul ya?",1,1 day ago,"Kesel banget sm Pak Pur.
Saudara nya Sri Mul ya?",kesel banget pak pur saudara sri mul,NEGATIVE,0.314,Lainnya
Ph.D di komentar i sama Yang seperti ini??? Serius?? 😂😂,0,1 day ago,Ph.D di komentar i sama Yang seperti ini??? Serius?? 😂😂,ph d komentar i serius,POSITIVE,0.3114,Lainnya
anda anak buahnya george soros kah 😂😂,0,1 day ago,anda anak buahnya george soros kah 😂😂,anda anak buahnya george soros,POSITIVE,0.3367,Lainnya
semoga pa Pur mampu mengatasi gelombang kesulitan ekonomi dunia sekarang,32,1 day ago,semoga pa Pur mampu mengatasi gelombang kesulitan ekonomi dunia sekarang,semoga pa pur mampu mengatasi gelombang kesulitan ekonomi dunia sekarang,POSITIVE,0.3902,Lainnya
Terima kasih Pak Purbaya & Pak Prabowo 🔥,42,1 day ago,Terima kasih Pak Purbaya & Pak Prabowo 🔥,terima kasih pak purbaya pak prabowo,NEUTRAL,0.2661,
Jika Bank dunia (IMF) tidak mau pinjam saja sama koperasi 😅,4,1 day ago,Jika Bank dunia (IMF) tidak mau pinjam saja sama koperasi 😅,bank dunia imf mau pinjam koperasi,NEGATIVE,0.4966,Kepercayaan pihak eksternal
Ekonomi Turun Stagnan Nilai Rupiah Nungsep Hutang Naik,3,1 day ago,Ekonomi Turun Stagnan Nilai Rupiah Nungsep Hutang Naik,ekonomi turun stagnan nilai rupiah nungsep hutang naik,NEGATIVE,0.6344,Kekhawatiran ekonomi
Ekonomi Stag Turun Nilai Rupiah Nungsep,3,1 day ago,Ekonomi Stag Turun Nilai Rupiah Nungsep,ekonomi stag turun nilai rupiah nungsep,NEGATIVE,0.6345,Kekhawatiran ekonomi
"Bank dunia jangan kasih pijaman mulu ke RI, uangnya hanya buat di korup terus",8,1 day ago (edited),"Bank dunia jangan kasih pijaman mulu ke RI, uangnya hanya buat di korup terus",bank dunia jangan kasih pijaman mulu ri uangnya hanya buat korup terus,NEGATIVE,0.7199,Kepercayaan pihak eksternal
Lulusan ITB memang mantab ngak seperti lulusan sono tu cuman bikin ribut negara ujung-ujungnya nyari jabatan dan cuan.,4,1 day ago,Lulusan ITB memang mantab ngak seperti lulusan sono tu cuman bikin ribut negara ujung-ujungnya nyari jabatan dan cuan.,lulusan itb memang mantab ngak lulusan sono tu cuman bikin ribut negara ujung ujungnya nyari jabatan cuan,NEGATIVE,0.5182,Lainnya
capek jadi politik kalo di Indonesia emang,20,1 day ago,capek jadi politik kalo di Indonesia emang,capek politik indonesia memang,POSITIVE,0.3283,Lainnya
Bangga sekali dngn ITB,1,1 day ago,Bangga sekali dngn ITB,bangga sekali dngn itb,NEGATIVE,0.285,Lainnya
Lanjut Pak Pur  tetap semangat,32,1 day ago,Lanjut Pak Pur  tetap semangat,lanjut pak pur tetap semangat,POSITIVE,0.4942,Optimisme ekonomi
Para pembantu rakyat 😂,0,1 day ago,Para pembantu rakyat 😂,para pembantu rakyat,POSITIVE,0.4121,Lainnya
"Terimakasih pak Pur, untuk Wowo sory yee",1,1 day ago,"Terimakasih pak Pur, untuk Wowo sory yee",terimakasih pak pur wowo sory yee,NEGATIVE,0.2922,Lainnya
​ @fachriikhsan1055 wkwkwkkw si omon2 cmn hamburkan uang negara ke mbg😊,1,1 day ago,​ @fachriikhsan1055 wkwkwkkw si omon2 cmn hamburkan uang negara ke mbg😊,wkwkwkkw si omon2 cmn hamburkan uang negara mbg,NEGATIVE,0.5985,Lainnya
Pinjam sj ke Koperasi Merah Putih,3,1 day ago,Pinjam sj ke Koperasi Merah Putih,pinjam sj koperasi merah putih,NEGATIVE,0.4319,Lainnya
Yaaa kalo koprasi sukses nanti jangan jadi anggota nya yaaa jadi baiar ga munafik nanti jadi nya 😁😁🤭🤭,2,1 day ago,Yaaa kalo koprasi sukses nanti jangan jadi anggota nya yaaa jadi baiar ga munafik nanti jadi nya 😁😁🤭🤭,yaaa koprasi sukses nanti jangan anggota yaaa baiar munafik nanti,POSITIVE,0.5088,Lainnya
"Jadi menurut lu nyeettt, cuma Indonesia ajee yg bgitu????????",2,1 day ago,"Jadi menurut lu nyeettt, cuma Indonesia ajee yg bgitu????????",menurut kamu nyeettt cuma indonesia ajee bgitu,NEGATIVE,0.5115,Lainnya
sdm rendah wkwlwl,0,1 day ago,sdm rendah wkwlwl,sdm rendah wkwlwl,NEUTRAL,0.3675,
" @WikaSalim-f7k  kalau purboyo merasa hebat, ngapain ke amerika ketemu investor ? ngapain juga ketemu world bank dan imf ? mau pamer atau bawa proposal utang? utang juga bisa disebut investasi buat yang ngutangin. mrongos anaknya purboyo bapaknya ketemu sama temenya CIA wkwkwkwkwk",2,1 day ago," @WikaSalim-f7k  kalau purboyo merasa hebat, ngapain ke amerika ketemu investor ? ngapain juga ketemu world bank dan imf ? mau pamer atau bawa proposal utang? utang juga bisa disebut investasi buat yang ngutangin. mrongos anaknya purboyo bapaknya ketemu sama temenya CIA wkwkwkwkwk",f7k purboyo merasa hebat ngapain amerika ketemu investor ngapain ketemu world bank imf mau pamer bawa proposal utang utang disebut investasi buat ngutangin mrongos anaknya purboyo bapaknya ketemu temenya cia wkwkwkwkwk,NEGATIVE,0.6414,Kekhawatiran ekonomi
Wedus penghianat,0,1 day ago,Wedus penghianat,wedus penghianat,NEGATIVE,0.5128,Lainnya
Ditunggu permintaan maafnya anda😅,0,1 day ago,Ditunggu permintaan maafnya anda😅,ditunggu permintaan maafnya anda,NEGATIVE,0.534,Lainnya
​ @sedyawati  Maaf asal bapak senang 🤣🤣🤣,0,1 day ago,​ @sedyawati  Maaf asal bapak senang 🤣🤣🤣,maaf asal bapak senang,NEGATIVE,0.5392,Lainnya
Kridit mu yg naik bang,0,1 day ago,Kridit mu yg naik bang,kridit mu naik bang,NEGATIVE,0.3837,Lainnya
​ @maskurikuri-qz2to  Mumpung gubernur BI masih keponakanku sendiri bang,0,1 day ago,​ @maskurikuri-qz2to  Mumpung gubernur BI masih keponakanku sendiri bang,qz2to mumpung gubernur bi keponakanku sendiri bang,NEGATIVE,0.3856,Lainnya
urus sj ekonomimu sapa tau soros ngasi dikit buat lu😂,0,1 day ago,urus sj ekonomimu sapa tau soros ngasi dikit buat lu😂,urus sj ekonomimu sapa tau soros ngasi dikit buat kamu,NEGATIVE,0.3139,Kekhawatiran ekonomi
​ @dogol7777  Ntar lah nunggu Gentdengisasi dulu 🤣🤣,0,1 day ago,​ @dogol7777  Ntar lah nunggu Gentdengisasi dulu 🤣🤣,nanti nunggu gentdengisasi dulu,NEGATIVE,0.3532,Lainnya
Wedus penghianat,0,1 day ago,Wedus penghianat,wedus penghianat,NEGATIVE,0.5128,Lainnya
"Indonesia tidak butuh pinjaman dari bank dunia karena sudah stabil,  otaknya kok bobrok amat sih",0,1 day ago,"Indonesia tidak butuh pinjaman dari bank dunia karena sudah stabil,  otaknya kok bobrok amat sih",indonesia butuh pinjaman bank dunia stabil otaknya kok bobrok amat,POSITIVE,0.3876,Lainnya
Pak pur di itb jurusan nya mesin padahal,1,1 day ago,Pak pur di itb jurusan nya mesin padahal,pak pur itb jurusan mesin padahal,NEUTRAL,0.3393,
Lulusan UGM kah,1,1 day ago,Lulusan UGM kah,lulusan ugm,POSITIVE,0.2554,Lainnya
Nggak mau capek lo Nggak usah komen politik karena politik itu sama saja ada yg suka dan tidak begitu hidup di Dunia ini yg nggak capek yg meninggalkan dunia ini,0,1 day ago,Nggak mau capek lo Nggak usah komen politik karena politik itu sama saja ada yg suka dan tidak begitu hidup di Dunia ini yg nggak capek yg meninggalkan dunia ini,mau capek kamu usah komen politik politik suka begitu hidup dunia capek meninggalkan dunia,NEGATIVE,0.3929,Lainnya
​ @KinahKinah-r6c awas lu ye gw bakal persentasi smuawnya,1,1 day ago,​ @KinahKinah-r6c awas lu ye gw bakal persentasi smuawnya,r6c awas kamu ye bakal persentasi smuawnya,NEGATIVE,0.2667,Lainnya
Semua negara yang menganut demokrasi memang politik seperti itu. Makanya sekolah,0,1 day ago,Semua negara yang menganut demokrasi memang politik seperti itu. Makanya sekolah,negara menganut demokrasi memang politik makanya sekolah,NEUTRAL,0.2871,
​ @zabo57 elu yang sekolah,1,1 day ago,​ @zabo57 elu yang sekolah,elu sekolah,POSITIVE,0.4023,Lainnya
